Date	logreturn
10-Jul-89	1.4586
17-Jul-89	0.0891
24-Jul-89	0.7760
31-Jul-89	1.0108
7-Aug-89	1.1088
14-Aug-89	-0.1082
21-Aug-89	1.0336
28-Aug-89	0.9594
5-Sep-89	0.0000
11-Sep-89	-0.7882
18-Sep-89	0.1069
25-Sep-89	1.0202
2-Oct-89	2.2374
9-Oct-89	-3.4287
16-Oct-89	0.7249
23-Oct-89	-3.8770
30-Oct-89	0.0442
6-Nov-89	0.7039
13-Nov-89	0.1095
20-Nov-89	-0.0219
27-Nov-89	0.1094
4-Dec-89	-0.1971
11-Dec-89	-2.7557
18-Dec-89	0.1801
26-Dec-89	2.2683
2-Jan-90	0.7448
8-Jan-90	-4.1213
15-Jan-90	0.2725
22-Jan-90	-4.5473
29-Jan-90	0.2134
5-Feb-90	1.5511
12-Feb-90	0.0466
20-Feb-90	-2.2393
26-Feb-90	2.7045
5-Mar-90	1.3367
12-Mar-90	1.2287
19-Mar-90	-1.1143
26-Mar-90	-0.4125
2-Apr-90	-1.0619
9-Apr-90	1.2454
16-Apr-90	-2.4360
23-Apr-90	-1.8488
30-Apr-90	2.5043
7-May-90	2.1923
14-May-90	2.3015
21-May-90	1.1974
29-May-90	1.8345
4-Jun-90	-0.2600
11-Jun-90	1.4432
18-Jun-90	-1.7910
25-Jun-90	0.6510
2-Jul-90	-0.3901
9-Jul-90	1.7010
16-Jul-90	-2.8366
23-Jul-90	-2.8290
30-Jul-90	-5.8382
6-Aug-90	-2.3017
13-Aug-90	-3.6186
20-Aug-90	-6.8902
27-Aug-90	3.7145
4-Sep-90	-0.2101
10-Sep-90	-1.5899
17-Sep-90	-3.2852
24-Sep-90	-5.0379
1-Oct-90	0.8383
8-Oct-90	-5.8684
15-Oct-90	2.9476
22-Oct-90	-0.8931
29-Oct-90	0.6260
5-Nov-90	1.6213
12-Nov-90	2.5691
19-Nov-90	-0.5429
26-Nov-90	2.8529
3-Dec-90	3.3948
10-Dec-90	-0.7294
17-Dec-90	1.2931
24-Dec-90	-0.6445
31-Dec-90	-1.0834
7-Jan-91	-1.4815
14-Jan-91	4.1154
21-Jan-91	4.4867
28-Jan-91	5.7651
4-Feb-91	4.4712
11-Feb-91	2.6879
19-Feb-91	0.0668
25-Feb-91	1.7004
4-Mar-91	3.9520
11-Mar-91	-1.8739
18-Mar-91	-0.4600
25-Mar-91	3.8359
1-Apr-91	2.7586
8-Apr-91	1.1690
15-Apr-91	-0.0858
22-Apr-91	-1.3155
29-Apr-91	-0.5148
6-May-91	0.2679
13-May-91	-2.4704
20-May-91	2.3183
28-May-91	2.6914
3-Jun-91	-1.5070
10-Jun-91	-0.6985
17-Jun-91	-1.8861
24-Jun-91	-2.0588
1-Jul-91	-0.3937
8-Jul-91	3.8608
15-Jul-91	0.9775
22-Jul-91	-0.9816
29-Jul-91	2.6004
5-Aug-91	0.5207
12-Aug-91	0.8151
19-Aug-91	1.6623
26-Aug-91	0.8827
3-Sep-91	-1.6766
9-Sep-91	-0.0445
16-Sep-91	2.0079
23-Sep-91	-0.5154
30-Sep-91	-0.7810
7-Oct-91	-0.2598
14-Oct-91	3.7530
21-Oct-91	-2.5884
28-Oct-91	2.9644
4-Nov-91	1.3131
11-Nov-91	-3.1113
18-Nov-91	-0.9133
25-Nov-91	-0.4875
2-Dec-91	2.3393
9-Dec-91	0.8541
16-Dec-91	-0.9548
23-Dec-91	5.4395
30-Dec-91	4.6522
6-Jan-92	3.8156
13-Jan-92	1.7947
20-Jan-92	-0.3468
27-Jan-92	-0.7181
3-Feb-92	2.3488
10-Feb-92	0.2328
18-Feb-92	-1.0552
24-Feb-92	0.5890
2-Mar-92	-2.8047
9-Mar-92	0.4325
16-Mar-92	0.9108
23-Mar-92	-3.1916
30-Mar-92	-2.4543
6-Apr-92	-0.9828
13-Apr-92	1.2874
20-Apr-92	-3.2492
27-Apr-92	0.9122
4-May-92	1.3094
11-May-92	-1.9532
18-May-92	1.0167
26-May-92	0.8596
1-Jun-92	0.0205
8-Jun-92	-2.7553
15-Jun-92	-2.7268
22-Jun-92	-1.1542
29-Jun-92	2.7918
6-Jul-92	0.7868
13-Jul-92	0.4779
20-Jul-92	-0.8643
27-Jul-92	2.6553
3-Aug-92	-1.2282
10-Aug-92	-0.0977
17-Aug-92	-1.6678
24-Aug-92	-0.0248
31-Aug-92	1.7380
8-Sep-92	1.6551
14-Sep-92	1.0426
21-Sep-92	-2.0441
28-Sep-92	-0.9697
5-Oct-92	-0.1944
12-Oct-92	2.0970
19-Oct-92	2.4901
26-Oct-92	1.3090
2-Nov-92	1.9068
9-Nov-92	3.2444
16-Nov-92	0.8502
23-Nov-92	1.0665
30-Nov-92	1.8474
7-Dec-92	-0.8821
14-Dec-92	0.8352
21-Dec-92	0.6917
28-Dec-92	1.6488
4-Jan-93	0.0384
11-Jan-93	2.9019
18-Jan-93	0.6406
25-Jan-93	-0.7568
1-Feb-93	0.6641
8-Feb-93	-1.5005
16-Feb-93	-3.9779
22-Feb-93	1.0732
1-Mar-93	1.5679
8-Mar-93	1.6607
15-Mar-93	-1.4628
22-Mar-93	-0.1730
29-Mar-93	-1.7301
5-Apr-93	-0.5269
12-Apr-93	0.0675
19-Apr-93	-1.2632
26-Apr-93	0.4561
3-May-93	2.9819
10-May-93	-0.7468
17-May-93	2.6149
24-May-93	0.8947
1-Jun-93	0.2110
7-Jun-93	-1.2644
14-Jun-93	-0.5207
21-Jun-93	0.7541
28-Jun-93	1.3836
6-Jul-93	0.1872
12-Jul-93	-0.8652
19-Jul-93	0.0729
26-Jul-93	0.6349
2-Aug-93	1.8809
9-Aug-93	0.0251
16-Aug-93	1.7527
23-Aug-93	0.4246
30-Aug-93	2.1082
7-Sep-93	-0.7229
13-Sep-93	-0.5659
20-Sep-93	1.9455
27-Sep-93	1.1305
4-Oct-93	0.1362
11-Oct-93	2.9841
18-Oct-93	-1.8897
25-Oct-93	0.8480
1-Nov-93	-2.1100
8-Nov-93	2.1177
15-Nov-93	-3.6271
22-Nov-93	0.4395
29-Nov-93	2.2724
6-Dec-93	-1.4978
13-Dec-93	-0.1987
20-Dec-93	-0.0698
27-Dec-93	2.3576
3-Jan-94	0.7873
10-Jan-94	1.1897
17-Jan-94	0.2483
24-Jan-94	0.2829
31-Jan-94	-2.4464
7-Feb-94	0.5274
14-Feb-94	0.9502
22-Feb-94	-0.6448
28-Feb-94	0.8601
7-Mar-94	-0.1709
14-Mar-94	1.8492
21-Mar-94	-2.5805
28-Mar-94	-5.2392
4-Apr-94	0.7037
11-Apr-94	-2.8092
18-Apr-94	-0.7459
25-Apr-94	1.5491
2-May-94	-0.1336
9-May-94	-2.1990
16-May-94	1.3549
23-May-94	0.8823
31-May-94	1.2525
6-Jun-94	-1.1012
13-Jun-94	-0.6696
20-Jun-94	-4.9984
27-Jun-94	1.8649
5-Jul-94	0.0863
11-Jul-94	1.9457
18-Jul-94	-0.6509
